OID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Ftr_Type,Commodity,Value_Mat,Assoc_Mat,Min_Style,Min_Age,Host_Age,Host_Name,Host_Litho,Alteration,Ref_ID,Remarks
1,AR00002,Mo00612,"Smackover-Lanxess, South Unit",2019-08-05,Deposit,lithium; bromine,brine,<Null>,brine,<Null>,Jurassic-Oxfordian,Reynolds Member of the Smackover Formation,ooidal grainstone; chalky limestone,<Null>,Eccles and others (2018),"The Reynolds Member of the Smackover Formation is approximately 2,300 m beneath the Earth's surface"
2,AR00002,Mo00616,"Smackover-Lanxess, Central Unit",2019-08-05,Deposit,lithium; bromine,brine,<Null>,brine,<Null>,Jurassic-Oxfordian,Reynolds Member of the Smackover Formation,ooidal grainstone; chalky limestone,<Null>,Eccles and others (2018),"The Reynolds Member of the Smackover Formation is approximately 2,300 m beneath the Earth's surface"
3,AR00002,Mo00617,"Smackover-Lanxess, West Unit",2019-08-05,Deposit,lithium; bromine,brine,<Null>,brine,<Null>,Jurassic-Oxfordian,Reynolds Member of the Smackover Formation,ooidal grainstone; chalky limestone,<Null>,Eccles and others (2018),"The Reynolds Member of the Smackover Formation is approximately 2,300 m beneath the Earth's surface"
4,AR00005,Mo00647,"Smackover-Tetra, North Resource Area",2019-06-03,Deposit,lithium,brine,<Null>,brine,<Null>,Jurassic-Oxfordian,Reynolds Member; Middle Smackover Formation,ooidal grainstone; chalky limestone; lime-mudstone; lime-wackestone; pelletoid and oolitic limestone,<Null>,Eccles and others (2019),"The Upper (Reynolds Member) and Middle Smackover Formations aquifers are situated at a depth of approximately 2,300 m and 2,700 m respectively beneath the Earth's surface"
5,AR00005,Mo00648,"Smackover-Tetra, South Resource Area",2019-06-03,Deposit,lithium,brine,<Null>,brine,<Null>,Jurassic-Oxfordian,Reynolds Member; Middle Smackover Formation,ooidal grainstone; chalky limestone; lime-mudstone; lime-wackestone; pelletoid and oolitic limestone,<Null>,Eccles and others (2019),"The Upper (Reynolds Member) and Middle Smackover Formations aquifers are situated at a depth of approximately 2,300 m and 2,700 m respectively beneath the Earth's surface"
6,CA00002,Mo00588,"Fort Cady, Fort Cady brine deposit",2018-11-06,Deposit,lithium,brine,colemanite; calcite; anhydrite; gypsum; celestite,brine,<Null>,Pliocene,<Null>,evaporites; siltstone; mudstone; tuff; sandstone; limestone,<Null>,Fourie (2018),<Null>
7,CA00002,Mo00611,"Fort Cady, Fort Cady evaporite deposit",2018-11-13,Deposit,lithium; boron; gypsum,colemanite; anhydrite; gypsum; celestine; howlite,brine; calcite,evaporite,Pliocene,Pliocene,<Null>,evaporites in thinly laminated siltstone; mudstone; tuff,<Null>,Fourie (2018),<Null>
8,CA00003,Mo00589,"Salton Sea, Salton Sea brine deposit",2018-12-10,Deposit,sodium; potassium; calcium; lithium; magnesium; strontium; barium; rubidium; cesium; iron; manganese; lead; zinc; silica; chloride; boron,brine,<Null>,brine,<Null>,Pliocene; Holocene (1),Palm Spring Formation,arkosic sandstone; claystone; rhyolite (1); siltstone (1); mudstone (1),hydrothermal (1),Dutcher and others (1972),(1) Schmitt and Hulen (2008)
9,CA00060,Mo00593,"Searles Lake, Searles Lake brine deposit",2018-12-13,Deposit,lithium; tungsten (1),brine,potash; borax; salt cake; soda ash; halite; hanksite; glaserite; trona; evaporite minerals; unknown low-valence tungsten ion (1);  dilithium sodium phosphate (3),brine,Pleistocene,Pleistocene,Searles Lake Formation (2),evaporite interstratified with mud and sand,<Null>,Smith (1979),(1) Carpenter and Garrett (1959); (2) Smith (2009); (3) Garrett (2004)
10,CA00060,Mo00697,"Searles Lake, Searles Lake evaporite deposit",2018-12-13,Deposit,salt; borax,halite; trona; nahcolite; burkeite; northupite; thenardite; hanksite; borax; sulfohalite; tychite; aphthitalite; galeite; gaylussite; mirabilite; northupite; pirssonite; schairerite; searlesite; teepleite; tincalconite,brine; adularia; analcime; aragonite; calcite; dolomite; phillipsite,evaporite,Pleistocene,Pleistocene,Searles Lake Formation (1),evaporite interstratified with mud and sand,<Null>,Smith (1979),(1) Smith (2009)
