OBJECTID *,Shape *,Site_ID *,Ftr_ID *,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
1,Point,AR00002,Mf00293,"Smackover-Lanxess, BSW-4S",Smith BSW 35740; Well Permit Number 21780,2019-08-05,Mine Feature,Well,bromine,33.12798,-92.6481,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
2,Point,AR00002,Mf00294,"Smackover-Lanxess, BSW-5S",Alphin 27028; Well Permit Number 22381,2019-08-05,Mine Feature,Well,bromine,33.148086,-92.63022,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
3,Point,AR00002,Mf00295,"Smackover-Lanxess, BSW-10S",Robertson BSW 35737; Well Permit Number 22777,2019-08-05,Mine Feature,Well,bromine,33.15011,-92.64726,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
4,Point,AR00002,Mf00296,"Smackover-Lanxess, BSW-20S",Creer 35738; Well Permit Number 23268,2019-08-05,Mine Feature,Well,bromine,33.07913,-92.65075,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
5,Point,AR00002,Mf00297,"Smackover-Lanxess, BSW-21S",BSW 35761; Well Permit Number 35955,2019-08-05,Mine Feature,Well,bromine,33.07324,-92.64828,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
6,Point,AR00002,Mf00298,"Smackover-Lanxess, BSW-13",BSW 27027; Well Permit Number 33536,2019-08-05,Mine Feature,Well,bromine,33.21673,-92.78625,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
7,Point,AR00002,Mf00299,"Smackover-Lanxess, BSW-14",BSW 35539; Well Permit Number 35391,2019-08-05,Mine Feature,Well,bromine,33.21063,-92.80559,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
8,Point,AR00002,Mf00300,"Smackover-Lanxess, BSW-15",BSW 35540; Well Permit Number 36474,2019-08-05,Mine Feature,Well,bromine,33.19575,-92.81398,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
9,Point,AR00002,Mf00301,"Smackover-Lanxess, Spencer 1",Spencer 27697; Well Permit Number 29795,2019-08-05,Mine Feature,Well,bromine,33.17412,-92.7971,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
10,Point,AR00002,Mf00302,"Smackover-Lanxess, H. Carroll 1",H. Carroll 27023; Well Permit Number 21278,2019-08-05,Mine Feature,Well,bromine,33.1784,-92.80317,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
11,Point,AR00002,Mf00303,"Smackover-Lanxess, Joy Kadison 2",Joy Kadison BSW 27018; Well Permit Number 34469,2019-08-05,Mine Feature,Well,bromine,33.19748,-92.872,Coordinates provided from reference material,<Null>,AR,Union,<Null>,2018,<Null>,Arkansas Oil and Gas Commission (2018),Location coordinates provided by a online database,No
