OBJECTID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Assoc_Dep,Material,Year_From,Year_To,Mat_Type,Mat_Amnt,Mat_Units,Grade,Grade_Unit,CutOffGrad,CutOffUnit,Contained,Cont_Units,MatAmntSI,MatUnitsSI,GradeSI,GradUnitSI,COG_SI,COU_SI,CntSIComAm,CntSIComUt,CntSICom,Ref_Detail,Ref_ID,Remarks
1,AR00002,Mf00293,"Smackover-Lanxess, BSW-4S",2019-07-16,Mo00612,bromine (Br),1979,2018,brine,"252,510,314",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"204,000.111",metric tons,"40,146,614,800.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"204,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
2,AR00002,Mf00294,"Smackover-Lanxess, BSW-5S",2019-07-16,Mo00612,bromine (Br),1987,2018,brine,"248,209,539",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"200,000.111",metric tons,"39,462,834,600.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"200,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
3,AR00002,Mf00295,"Smackover-Lanxess, BSW-10S",2019-07-16,Mo00612,bromine (Br),1979,2018,brine,"206,558,109",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"167,000.111",metric tons,"32,840,673,800.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"167,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
4,AR00002,Mf00296,"Smackover-Lanxess, BSW-20S",2019-07-16,Mo00612,bromine (Br),1979,2018,brine,"315,066,972",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"254,000.111",metric tons,"50,092,497,900.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"254,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
5,AR00002,Mf00297,"Smackover-Lanxess, BSW-21S",2019-07-16,Mo00612,bromine (Br),1996,2018,brine,"154,653,776",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"125,000.111",metric tons,"24,588,403,800.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"125,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
6,AR00002,Mf00298,"Smackover-Lanxess, BSW-13",2019-07-16,Mo00616,bromine (Br),1988,2018,brine,"226,161,308",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"182,000.111",metric tons,"35,957,386,400.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"182,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
7,AR00002,Mf00299,"Smackover-Lanxess, BSW-14",2019-07-16,Mo00616,bromine (Br),1994,2018,brine,"62,424,020",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"50,300.111",metric tons,"9,924,795,000.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"50,300.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
8,AR00002,Mf00300,"Smackover-Lanxess, BSW-15",2019-07-16,Mo00616,bromine (Br),1999,2018,brine,"153,568,662",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"124,000.111",metric tons,"24,415,881,600.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"124,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
9,AR00002,Mf00301,"Smackover-Lanxess, Spencer 1",2019-07-16,Mo00616,bromine (Br),1996,2018,brine,"62,604,796",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"50,500.111",metric tons,"9,953,536,500.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"50,500.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
10,AR00002,Mf00302,"Smackover-Lanxess, H. Carroll 1",2019-07-16,Mo00616,bromine (Br),1976,2018,brine,"170,958,272",U.S. barrels,"5,070",milligrams per liter,<Null>,<Null>,"138,000.111",metric tons,"27,180,655,700.111",liters,"5,070",milligrams per liter,<Null>,<Null>,"138,000.111",metric tons,Br,"Page 32, Table 5",Eccles and others (2018); Arkansas Oil and Gas Commission (2018); Moldovanyi and Walter (1992),Calculated values were aggregated from multiple sources
