OBJECTID *,Ref_ID,Reference,Last_Updt
1,Ajie and others (2009),"Ajie, J., Eggleston, T., Hertel, M., and Kappes, D., 2009, Kings Valley project—NI 43-101 technical report—Preliminary assessment and economic evaluation, Humboldt County, Nevada, prepared for Western Lithium Corporation [Effective date December 31, 2009]: Denver, Colorado, USA, URS Corporation, January 22, 166 p. [Also available at http://sedar.com.] ",2019-08-03
2,American Pacific Borate and Lithium Ltd. (2017),"American Pacific Borate and Lithium Ltd., 2017, Quarterly reports for September quarter 2017: America Pacific Borate and Lithium Ltd., 8 p. plus 3 appendixes, accessed August 3, 2019, at http://americanpacificborate.com/wp-content/uploads/QuarterlyActivitiesReportAndAppendix5B_26Oct17.pdf",2019-08-05
3,Anstett and others (1990),"Anstett, T.F., Krauss, U.H., Ober, J.A., and Schmidt, H.W., 1990, International Strategic Minerals Inventory Summary Report – Lithium: U.S. Geological Survey Circular 930-1, 28 p. [Also available at . https://doi.org/10.3133/cir930I]",2019-08-05
4,Arkansas Oil and Gas Commission (2018),"Arkansas Oil and Gas Commission, 2018, Production data, accessed November 19, 2018 at http://www.aogc.state.ar.us/welldata/production/default.aspx",2019-08-03
5,Asher-Bolinder (1991),"Asher-Bolinder, S., 1991, Descriptive model of lithium in smectites of closed basins, Model 25l.3(T), in (Orris, G.J., and Bliss, J.D., eds.) Some industrial mineral deposit models: Descriptive deposit models. U.S. Geological Survey Open-File Report 91-11A, pp. 11-12. [Also available at https://pubs.usgs.gov/of/1991/ofr-91-0011-a/ofr-91-0011a.pdf]",2019-08-05
6,"Berthold and Baker, Jr. (1976)","Berthold, C.E., and Baker, D.H., Jr., 1976, Lithium Recovery from Geothermal Fluids, chap. 18 of Vine, J.D., ed., Lithium Resources and Requirement by the Year 2000: U.S. Geological Survey Professional Paper 1005, p. 61-66.",2019-08-03
7,Bleiwas and Coffman (1986),"Bleiwas, D.I., and Coffman, J.S., 1986, Lithium Availability—A Minerals Availability Appraisal: U.S. Bureau of Mines Information Circular 9102, 23 p.",2019-08-03
8,Blois and others (2017),"Blois, M.D.S., Weber, D.S., Burga, E., and Sawyer, V., 2017, Clayton Valley Lithium Project—Preliminary economic assessment, Esmeralda County, Nevada, USA, NI 43-101 technical report, prepared for Pure Energy Minerals [Effective date June 15, 2017]: Denver, Colorado, USA, TAKRAF USA Inc., August 8, 250 p. [Also available at http://sedar.com]",2019-08-03
9,Bradley and others (2013),"Bradley, Dwight, Munk, LeeAnn, Jochens, Hillary, Hynek, Scott, and Labay, Keith, 2013, A preliminary deposit model for lithium brines: U.S. Geological Survey Open-File Report 2013–1006, 6 p. [Also available at https://pubs.usgs.gov/of/2013/1006/]",2019-08-05
10,Bradley and others (2017),"Bradley, D.C., Stillings, L.L., Jaskula, B.W., Munk, LeeAnn, and McCauley, A.D., 2017, Lithium, chap. K of Schulz, K.J., DeYoung, J.H., Jr., Seal, R.R., II, and Bradley, D.C., eds., Critical mineral resources of the United States—Economic and environmental geology and prospects for future supply: U.S. Geological Survey Professional Paper 1802, p. K1–K21, https://doi.org/10.3133/pp1802K.",2019-08-05
