OBJECTID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,Material,Rsrc_Date,Mat_Type,Mat_Amnt,Mat_Units,Grade,Grade_Unit,CutOffGrad,CutOffUnit,Contained,Cont_Units,MatAmntSI,MatUnitsSI,GradeSI,GradUnitSI,COG_SI,COU_SI,CntSIComAm,CntSIComUt,CntSICom,Rsrc_Class,Rsrc_Descr,Rsrc_Code,Ref_Detail,Ref_ID,Remarks
1,AR00002,Mo00612,"Smackover-Lanxess, South Unit",2019-07-16,lithium (Li),2018,commodity,"114,000",tonnes,<Null>,<Null>,50,milligrams per liter Li,"114,000",tonnes,"114,000",metric tons,<Null>,<Null>,50,milligrams per liter,"114,000",metric tons,Li,Inferred,Resource,CIM,"Page 117, Table 23",Eccles and others (2018),<Null>
2,AR00002,Mo00616,"Smackover-Lanxess, Central Unit",2019-07-16,lithium (Li),2018,commodity,"164,000",tonnes,<Null>,<Null>,50,milligrams per liter Li,"164,000",tonnes,"164,000",metric tons,<Null>,<Null>,50,milligrams per liter,"164,000",metric tons,Li,Inferred,Resource,CIM,"Page 117, Table 23",Eccles and others (2018),<Null>
3,AR00002,Mo00617,"Smackover-Lanxess, West Unit",2019-07-16,lithium (Li),2018,commodity,"303,000",tonnes,<Null>,<Null>,50,milligrams per liter Li,"303,000",tonnes,"303,000",metric tons,<Null>,<Null>,50,milligrams per liter,"303,000",metric tons,Li,Inferred,Resource,CIM,"Page 117, Table 23",Eccles and others (2018),<Null>
4,AR00005,Mo00647,"Smackover-Tetra, North Resource Area",2019-07-16,lithium (Li),2019,commodity,"55,000",tonnes,<Null>,<Null>,50,milligrams per liter Li,"55,000",tonnes,"55,000",metric tons,<Null>,<Null>,50,milligrams per liter,"55,000",metric tons,Li,Inferred,Resource,CIM,"Page 124, Table 24",Eccles and others (2019),<Null>
5,AR00005,Mo00648,"Smackover-Tetra, South Resource Area",2019-07-16,lithium (Li),2019,commodity,"96,000",tonnes,<Null>,<Null>,50,milligrams per liter Li,"96,000",tonnes,"96,000",metric tons,<Null>,<Null>,50,milligrams per liter,"96,000",metric tons,Li,Inferred,Resource,CIM,"Page 124, Table 24",Eccles and others (2019),<Null>
6,CA00002,Mo00588,"Fort Cady, Fort Cady brine deposit",2019-08-05,lithium (Li),2017,ore,"-93,000,000",tonnes,374,parts per million,5,percent B2O3,"35,000.111",tonnes,"-93,000,000",metric tons,374,parts per million,5,percent B2O3,"35,000.111",metric tons,Li,Indicated plus Inferred,Mineral Resource,JORC,"Page 22, Table 5",Fourie (2017),<Null>
7,CA00002,Mo00588,"Fort Cady, Fort Cady brine deposit",2019-08-05,lithium (Li),2018,ore,"-120,440,000",tonnes,340,parts per million,5,percent B2O3,"41,000.111",tonnes,"-120,440,000",metric tons,340,parts per million,5,percent B2O3,"41,000.111",metric tons,Li,Indicated plus Inferred,Mineral Resource,JORC,"Page 24, Table 6",Fourie (2018),<Null>
8,CA00002,Mo00611,"Fort Cady, Fort Cady evaporite deposit",2019-08-05,boric acid (H3BO3),2018,ore,"-120,440,000",tonnes,11.57,weight percent,5,percent B2O3,"13,460,000",tonnes,"-120,440,000",metric tons,11.57,weight percent,5,percent B2O3,"2,351,000.111",metric tons,B,Indicated plus Inferred,Mineral Resource,JORC,"Page 24, Table 6",Fourie (2018),<Null>
9,CA00002,Mo00611,"Fort Cady, Fort Cady evaporite deposit",2019-08-05,boric acid (H3BO3),2017,ore,"-93,000,000",tonnes,11.3,weight percent,5,percent B2O3,"10,500,000",tonnes,"-93,000,000",metric tons,11.3,weight percent,5,percent B2O3,"1,840,000.111",metric tons,B,Indicated plus Inferred,Mineral Resource,JORC,"Page 22, Table 5",Fourie (2017),<Null>
10,CA00002,Mo00611,"Fort Cady, Fort Cady evaporite deposit",2019-08-05,boron trioxide (B2O3),2018,ore,"-120,440,000",tonnes,6.51,weight percent,5,percent B2O3,"7,580,000",tonnes,"-120,440,000",metric tons,6.51,weight percent,5,percent B2O3,"2,350,000.111",metric tons,B,Indicated plus Inferred,Mineral Resource,JORC,"Page 24, Table 6",Fourie (2018),<Null>
